Date,yhat
2025-08-10,3424.463
2025-08-11,3432.616
2025-08-12,3420.4028
2025-08-13,3394.674
2025-08-14,3360.1006
2025-08-15,3319.9324
2025-08-16,3276.4155
2025-08-17,3231.095
2025-08-18,3185.0261
2025-08-19,3138.931
2025-08-20,3093.2998
2025-08-21,3048.4666
2025-08-22,3004.6553
2025-08-23,2962.0151
2025-08-24,2920.641
2025-08-25,2880.5889
2025-08-26,2841.8877
2025-08-27,2804.545
2025-08-28,2768.5505
2025-08-29,2733.882
2025-08-30,2700.5085
2025-08-31,2668.3904
2025-09-01,2637.4832
2025-09-02,2607.7405
2025-09-03,2579.1096
2025-09-04,2551.5403
2025-09-05,2524.9805
2025-09-06,2499.3787
2025-09-07,2474.6846
2025-09-08,2450.849
