ds,Hybrid_Prediction
2025-08-10,111785.88221027824
2025-08-11,111976.11311225165
2025-08-12,112153.52465337062
2025-08-13,112521.45912937108
2025-08-14,112752.22283309742
2025-08-15,113088.97653231176
2025-08-16,113436.8422944996
2025-08-17,113762.76517554595
2025-08-18,114175.13341229729
2025-08-19,114490.02430635606
2025-08-20,114940.62813541139
2025-08-21,115218.13035059336
2025-08-22,115577.43051003019
2025-08-23,115931.00755340475
2025-08-24,116250.50914178384
2025-08-25,116647.42831823192
2025-08-26,116940.02406447704
2025-08-27,117363.09708126284
2025-08-28,117609.15150594352
2025-08-29,117934.16526417129
2025-08-30,118251.60730704876
2025-08-31,118533.98311261833
2025-09-01,118893.57300940054
2025-09-02,119149.36805005958
2025-09-03,119536.83084540344
2025-09-04,119749.03200932374
2025-09-05,120042.42822348705
2025-09-06,120330.92435161254
2025-09-07,120587.36055250934
2025-09-08,120924.24922101348
